BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	concentration	isolate	replicate	sex	time	tissue	treatment	group
SAMN10505015	SRR8267345	2019-04-30T00:27:04Z	2018-11-30T11:21:18Z	19840679	2976101850	19840679	150	1188		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267345/SRR8267345.1	SRX5084282	H1299_Dox_3c	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096779	simple	9606	Homo sapiens	H1299_Dox_3c					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	4868D14154E2ECAA01AF718D18CBFFC5	1BA380E51C07678AE3C8FC0D8ABD9566	10505015	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_3c	SRA: SRS4096779	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	48h	lung; metastatic site lympnode	dox	NCIH1299.dox.48h
SAMN10505016	SRR8267347	2019-04-30T00:27:04Z	2018-11-30T11:18:34Z	14667823	2200173450	14667823	150	861		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267347/SRR8267347.1	SRX5084283	H1299_Dox_3d	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096781	simple	9606	Homo sapiens	H1299_Dox_3d					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	3F907C2FA9A97E3DEF467623F3245595	3424C85B2253D94C52D7F66A06DD8DF7	10505016	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_Dox_3d	SRA: SRS4096781	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	72h	lung; metastatic site lympnode	dox	NCIH1299.dox.72h
SAMN10505017	SRR8267305	2019-04-30T00:27:05Z	2018-11-30T11:21:20Z	21584991	3237748650	21584991	150	1301		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267305/SRR8267305.1	SRX5084322	H1299_NJD054_1_1a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096820	simple	9606	Homo sapiens	H1299_NJD054_1_1a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	3A94B9E89DE6AB592BC92DD83F45D479	6D63255F949116FC315201B533954AFE	10505017	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_1a	SRA: SRS4096820	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	1	male	6h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.6h
SAMN10505018	SRR8267309	2019-04-30T00:27:05Z	2018-11-30T11:22:20Z	20218056	3032708400	20218056	150	1209		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267309/SRR8267309.1	SRX5084320	H1299_NJD054_1_1b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096819	simple	9606	Homo sapiens	H1299_NJD054_1_1b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	A7788449FBF22F55288DF11B1B95DBF4	8D20173701ECEDF5EC6B95700AE478B1	10505018	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_1b	SRA: SRS4096819	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	1	male	16h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.16h
SAMN10505019	SRR8267304	2019-04-30T00:27:05Z	2018-11-30T11:23:29Z	27181323	4077198450	27181323	150	1614		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267304/SRR8267304.1	SRX5084323	H1299_NJD054_1_2a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096821	simple	9606	Homo sapiens	H1299_NJD054_1_2a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	E6B1BAEC2B534A5BCF569D2F3ADB3656	F0970C9D4BDCD65B842A847204C9EB46	10505019	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_2a	SRA: SRS4096821	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	2	male	6h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.6h
SAMN10505020	SRR8267306	2019-04-30T00:27:05Z	2018-11-30T11:25:16Z	30012095	4501814250	30012095	150	1778		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267306/SRR8267306.1	SRX5084321	H1299_NJD054_1_2b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096818	simple	9606	Homo sapiens	H1299_NJD054_1_2b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	39F4C133CC03DAA94F9A7541493FAD53	94EF1EF9160E1FE2ACB8AA650F74B241	10505020	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_2b	SRA: SRS4096818	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	2	male	16h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.16h
SAMN10505021	SRR8267303	2019-04-30T00:27:05Z	2018-11-30T11:22:10Z	20604831	3090724650	20604831	150	1243		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267303/SRR8267303.1	SRX5084325	H1299_NJD054_1_3a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096822	simple	9606	Homo sapiens	H1299_NJD054_1_3a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	32492684FD7837AF4F3E4CBAD60EDB05	EA75298C76B9EE0FCFC3FB5F5E1D3D56	10505021	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_3a	SRA: SRS4096822	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	3	male	6h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.6h
SAMN10505022	SRR8267307	2019-04-30T00:27:05Z	2018-11-30T11:22:09Z	24852616	3727892400	24852616	150	1504		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267307/SRR8267307.1	SRX5084324	H1299_NJD054_1_3b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096823	simple	9606	Homo sapiens	H1299_NJD054_1_3b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	B36A4BC6F800246B137F4A8874F4D67E	690E17FBAF0AAA340BBC4D320B044406	10505022	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_1_3b	SRA: SRS4096823	43y	NIBR CCLE	NCI-H1299	1uM	NCI-H1299	3	male	16h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.16h
SAMN10505023	SRR8267329	2019-04-30T00:27:05Z	2018-11-30T11:22:29Z	22858808	3428821200	22858808	150	1343		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267329/SRR8267329.1	SRX5084300	H1299_NJD054_5_1a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096797	simple	9606	Homo sapiens	H1299_NJD054_5_1a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	90436E72EB420F4CAC6EC1A3D34AEF25	68B1AC06114B7B4C24F722DEB5637463	10505023	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_1a	SRA: SRS4096797	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	1	male	6h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.6h
SAMN10505024	SRR8267330	2019-04-30T00:27:05Z	2018-11-30T11:21:16Z	19207945	2881191750	19207945	150	1160		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267330/SRR8267330.1	SRX5084299	H1299_NJD054_5_1b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096798	simple	9606	Homo sapiens	H1299_NJD054_5_1b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	51CF81337568DFC0A68774A1BB14944A	7C7987A5AEE00DF81DA2C908B1B9B59F	10505024	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_1b	SRA: SRS4096798	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	1	male	16h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.16h
SAMN10505025	SRR8267294	2019-04-30T00:27:05Z	2018-11-30T11:20:52Z	22083441	3312516150	22083441	150	1317		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267294/SRR8267294.1	SRX5084335	H1299_NJD054_5_2a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096833	simple	9606	Homo sapiens	H1299_NJD054_5_2a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	8F0A7A2A421D3A5A7CD251433BB9FD87	6B796EECB8A1A5A5678B6B2ECC3DEA36	10505025	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_2a	SRA: SRS4096833	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	2	male	6h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.6h
SAMN10505026	SRR8267299	2019-04-30T00:27:05Z	2018-11-30T11:25:01Z	32522347	4878352050	32522347	150	1969		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267299/SRR8267299.1	SRX5084328	H1299_NJD054_5_2b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096826	simple	9606	Homo sapiens	H1299_NJD054_5_2b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	CC3FAA8473AA1ABC9BA8B24246DC0EEC	9CFE2BB71C60015F4E1456D8E4E1EAA6	10505026	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_2b	SRA: SRS4096826	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	2	male	16h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.16h
SAMN10505027	SRR8267332	2019-04-30T00:27:04Z	2018-11-30T11:20:34Z	22302561	3345384150	22302561	150	1325		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267332/SRR8267332.1	SRX5084297	H1299_NJD054_5_3a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096795	simple	9606	Homo sapiens	H1299_NJD054_5_3a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	4F011C41E5F8548F0A6E13680E62A987	29CEEFBFF1F7339B568E3C13749D810B	10505027	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_3a	SRA: SRS4096795	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	3	male	6h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.6h
SAMN10505028	SRR8267331	2019-04-30T00:27:05Z	2018-11-30T11:20:16Z	18943912	2841586800	18943912	150	1152		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267331/SRR8267331.1	SRX5084298	H1299_NJD054_5_3b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096796	simple	9606	Homo sapiens	H1299_NJD054_5_3b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	524D1D2AB02058A5A83422DA36C74627	B55818BA8A9EF1FBC9A7CA263B4C7B45	10505028	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NJD054_5_3b	SRA: SRS4096796	43y	NIBR CCLE	NCI-H1299	5uM	NCI-H1299	3	male	16h	lung; metastatic site lympnode	BRM011	NCIH1299.BRM011.16h
SAMN10505029	SRR8267322	2019-04-30T00:27:05Z	2018-11-30T11:24:10Z	28430351	4264552650	28430351	150	1676		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267322/SRR8267322.1	SRX5084307	H1299_NTC_1a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096805	simple	9606	Homo sapiens	H1299_NTC_1a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	8BFDD0941224E7AC387EF2628080E34B	D08874FE04001DCECBD75239DA082B61	10505029	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_1a	SRA: SRS4096805	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	48h	lung; metastatic site lympnode	NTC	NCIH1299.NTC.48h
SAMN10505030	SRR8267296	2019-04-30T00:27:05Z	2018-11-30T11:23:10Z	27871307	4180696050	27871307	150	1645		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267296/SRR8267296.1	SRX5084332	H1299_NTC_1b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096829	simple	9606	Homo sapiens	H1299_NTC_1b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	0DA7AA0F44814DA3E88DA160C76A7F6A	781B01D9E7491CA48929CA191E4ABC9D	10505030	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_1b	SRA: SRS4096829	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	72h	lung; metastatic site lympnode	NTC	NCIH1299.NTC.72h
SAMN10505031	SRR8267346	2019-04-30T00:27:04Z	2018-11-30T11:21:52Z	22300797	3345119550	22300797	150	1322		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267346/SRR8267346.1	SRX5084281	H1299_NTC_2a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096778	simple	9606	Homo sapiens	H1299_NTC_2a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	2313C1A674CE2E7D9142F9331B7246C6	F1DECDFC7423E084E7D289218FF6C098	10505031	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_2a	SRA: SRS4096778	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	48h	lung; metastatic site lympnode	NTC	NCIH1299.NTC.48h
