BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	er status	gender	source_name	tissue	treatment	group
SAMN04166686	SRR2653990	2017-01-03T09:55:17Z	2015-10-14T23:08:38Z	23455629	1162667511	0	49	610		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653990/SRR2653990.1	SRX1336997		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114776	simple	9606	Homo sapiens	GSM1908543							no					GEO	SRA304889		public	A2BBC4FFC8F634A89E79B268FB57E87D	CE487A54754618CBC98A0EADDE43305C	4166686	DAC+UNC0638 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114776	GSM1908543	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+UNC0638	dac_unc0638
SAMN04166686	SRR2653991	2017-01-03T09:55:17Z	2015-10-14T23:12:26Z	23999714	1189635119	0	49	626		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653991/SRR2653991.1	SRX1336997		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114776	simple	9606	Homo sapiens	GSM1908543							no					GEO	SRA304889		public	34B2C15C5EC454EE7A82F24886BEE732	6B408836256284EB848D4F15DB9FB3F8	4166686	DAC+UNC0638 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114776	GSM1908543	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+UNC0638	dac_unc0638
SAMN04166676	SRR2653992	2017-01-03T09:55:17Z	2015-10-14T23:07:26Z	15750376	780857175	0	49	396		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653992/SRR2653992.1	SRX1336998		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114775	simple	9606	Homo sapiens	GSM1908544							no					GEO	SRA304889		public	34A36862C60744EB4FEEE6A35821A1A3	8CDF07ED70D51F4E166E9657383FBF11	4166676	GSK343 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114775	GSM1908544	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	GSK343	gsk343
SAMN04166676	SRR2653993	2017-01-03T09:55:17Z	2015-10-14T23:06:50Z	16174177	801869739	0	49	406		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653993/SRR2653993.1	SRX1336998		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114775	simple	9606	Homo sapiens	GSM1908544							no					GEO	SRA304889		public	CD068A9A9AD70CA7E5332E0EDA5CC9A5	4E2356112B88CF9A85FD0623AF4DAF20	4166676	GSK343 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114775	GSM1908544	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	GSK343	gsk343
SAMN04166677	SRR2653994	2017-01-03T09:55:17Z	2015-10-14T23:07:16Z	16063716	796267761	0	49	402		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653994/SRR2653994.1	SRX1336999		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114774	simple	9606	Homo sapiens	GSM1908545							no					GEO	SRA304889		public	11FD09C105ED9C33A04AF63BE0E15BCA	080E609FC5CD519894F5C13607F2607D	4166677	DAC+GSK343 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114774	GSM1908545	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+GSK343	dac_gsk343
SAMN04166677	SRR2653995	2017-01-03T09:55:17Z	2015-10-14T23:07:04Z	16504769	818126592	0	49	412		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653995/SRR2653995.1	SRX1336999		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114774	simple	9606	Homo sapiens	GSM1908545							no					GEO	SRA304889		public	C256F4F360F9D54F136544AD8F639169	2C6CBCE3518D05F8F06EB5CBFAD97F61	4166677	DAC+GSK343 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114774	GSM1908545	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+GSK343	dac_gsk343
SAMN04166678	SRR2653996	2017-01-03T09:55:17Z	2015-10-14T23:06:13Z	13963983	692259811	0	49	350		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653996/SRR2653996.1	SRX1337000		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114773	simple	9606	Homo sapiens	GSM1908546							no					GEO	SRA304889		public	C20E8376956C4A11565D7C8F491CF39E	F33D0F3068EA02DE013ACFE7CC56F801	4166678	Depsi (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114773	GSM1908546	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	Depsi	depsi
SAMN04166678	SRR2653997	2017-01-03T09:55:17Z	2015-10-14T23:06:51Z	14323038	710061345	0	49	358		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653997/SRR2653997.1	SRX1337000		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114773	simple	9606	Homo sapiens	GSM1908546							no					GEO	SRA304889		public	54F748298E4E690896865BC3C35B35B2	3F429FB6C29B3B7FA050B1C2B59F6134	4166678	Depsi (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114773	GSM1908546	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	Depsi	depsi
SAMN04166679	SRR2653998	2017-01-03T09:55:17Z	2015-10-14T23:07:12Z	17506718	867704606	0	49	439		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653998/SRR2653998.1	SRX1337001		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114772	simple	9606	Homo sapiens	GSM1908547							no					GEO	SRA304889		public	016E9FE30C42B66471569F0D0880CE3B	D89C38A631DA075CF87FEB9476A205A7	4166679	DAC+Depsi (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114772	GSM1908547	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+Depsi	dac_depsi
SAMN04166679	SRR2653999	2017-01-03T09:55:17Z	2015-10-14T23:07:26Z	17989421	891633534	0	49	450		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2653999/SRR2653999.1	SRX1337001		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114772	simple	9606	Homo sapiens	GSM1908547							no					GEO	SRA304889		public	E782CA68205EC9546AA608CBF5011D2D	FF55DDA6B582138D393199934B59D067	4166679	DAC+Depsi (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114772	GSM1908547	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+Depsi	dac_depsi
SAMN04166680	SRR2654000	2017-01-03T09:55:17Z	2015-10-14T23:05:55Z	13204579	654694048	0	49	336		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654000/SRR2654000.1	SRX1337002		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114771	simple	9606	Homo sapiens	GSM1908548							no					GEO	SRA304889		public	A3BF7999874930ABBB8EA4508DD6B1FC	2992A763D7DA8DFDF1C9B8301878DAC4	4166680	Cntrl_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114771	GSM1908548	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	Cntrl	dmso
SAMN04166680	SRR2654001	2017-01-03T09:55:17Z	2015-10-14T23:06:01Z	13573396	672980227	0	49	345		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654001/SRR2654001.1	SRX1337002		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114771	simple	9606	Homo sapiens	GSM1908548							no					GEO	SRA304889		public	E509E2E3350C8E67D4E9CEDD728CFDEA	698A9833EDE439E7ED1D7878C5364603	4166680	Cntrl_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114771	GSM1908548	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	Cntrl	dmso
SAMN04166687	SRR2654002	2017-01-03T09:55:17Z	2015-10-14T23:04:51Z	9567260	474241210	0	49	240		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654002/SRR2654002.1	SRX1337003		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114770	simple	9606	Homo sapiens	GSM1908549							no					GEO	SRA304889		public	90B985954451FEEEE0B30EA86980B9CD	6A36166D8FF1972D924B39647AB1DC0D	4166687	DAC_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114770	GSM1908549	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC	dac
SAMN04166687	SRR2654003	2017-01-03T09:55:17Z	2015-10-14T23:05:13Z	9803995	485974139	0	49	245		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654003/SRR2654003.1	SRX1337003		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114770	simple	9606	Homo sapiens	GSM1908549							no					GEO	SRA304889		public	A265864136038B17E55B4C437E33F95F	A569B008379F8C84DC68A54AE803389D	4166687	DAC_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114770	GSM1908549	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC	dac
SAMN04166688	SRR2654004	2017-01-03T09:55:17Z	2015-10-14T23:07:20Z	19168378	949986370	0	49	594		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654004/SRR2654004.1	SRX1337004		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114769	simple	9606	Homo sapiens	GSM1908550							no					GEO	SRA304889		public	305927498A77ADB9F6D1DCC13EC098A0	BCEDC8C96E569C7589CC146EAE2480D5	4166688	S2101_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114769	GSM1908550	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	S2101	s2101
SAMN04166688	SRR2654005	2017-01-03T09:55:17Z	2015-10-14T23:07:09Z	19420046	962462813	0	49	602		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654005/SRR2654005.1	SRX1337004		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114769	simple	9606	Homo sapiens	GSM1908550							no					GEO	SRA304889		public	CECFBA68516E908BD58EFE60366CE35F	76D32708735A57621EF239096DCC220A	4166688	S2101_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114769	GSM1908550	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	S2101	s2101
SAMN04166668	SRR2654006	2017-01-03T09:55:17Z	2015-10-14T23:10:25Z	32178787	1595126614	0	49	1007		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654006/SRR2654006.1	SRX1337005		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114768	simple	9606	Homo sapiens	GSM1908551							no					GEO	SRA304889		public	22CC9375A1F6AA186270F0D42069D53F	C01C5B423C0BFEC1D1282DDB03B760B3	4166668	DAC+S2101_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114768	GSM1908551	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+S2101	dac_s2101
SAMN04166668	SRR2654007	2017-01-03T09:55:17Z	2015-10-14T23:11:12Z	32622113	1617109016	0	49	1021		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654007/SRR2654007.1	SRX1337005		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114768	simple	9606	Homo sapiens	GSM1908551							no					GEO	SRA304889		public	9658CB92C7C2310E9268943D46B1E3C0	29353D3F3C03FD51C5FA8FC4CBA2119B	4166668	DAC+S2101_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114768	GSM1908551	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+S2101	dac_s2101
SAMN04166669	SRR2654008	2017-01-03T09:55:17Z	2015-10-14T23:09:18Z	24127949	1195854196	0	49	746		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654008/SRR2654008.1	SRX1337006		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114767	simple	9606	Homo sapiens	GSM1908552							no					GEO	SRA304889		public	C1F114561C9068C10148D555A366CE02	F5E392F67E8AD6C2E34F0B9849BFFF89	4166669	UNC0638_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114767	GSM1908552	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	UNC0638	unc0638
SAMN04166669	SRR2654009	2017-01-03T09:55:17Z	2015-10-14T23:08:29Z	24598181	1219168234	0	49	761		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654009/SRR2654009.1	SRX1337006		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114767	simple	9606	Homo sapiens	GSM1908552							no					GEO	SRA304889		public	48D5D49F41FDEA27DF909C4AA71B7B2D	1ABBF6BDA871BC6EEB724DBD530EDFBA	4166669	UNC0638_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114767	GSM1908552	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	UNC0638	unc0638
SAMN04166670	SRR2654010	2017-01-03T09:55:17Z	2015-10-14T23:11:45Z	38594700	1913083486	0	49	1199		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654010/SRR2654010.1	SRX1337007		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114766	simple	9606	Homo sapiens	GSM1908553							no					GEO	SRA304889		public	6CAA91BE6ED20D84BE49F0D0BE5065A2	DE959AD4F10D3EBFC203AE58000FB0EE	4166670	DAC+UNC0638_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114766	GSM1908553	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+UNC0638	dac_unc0638
SAMN04166670	SRR2654011	2017-01-03T09:55:17Z	2015-10-14T23:11:55Z	39156344	1940951112	0	49	1217		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654011/SRR2654011.1	SRX1337007		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114766	simple	9606	Homo sapiens	GSM1908553							no					GEO	SRA304889		public	6D6A143EDB3FCB4A0D1966761C45E23C	4BFAB380BB4D03358F80C374760CE717	4166670	DAC+UNC0638_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114766	GSM1908553	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	DAC+UNC0638	dac_unc0638
SAMN04166671	SRR2654012	2017-01-03T09:55:17Z	2015-10-14T23:06:59Z	17935020	888972038	0	49	555		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2654012/SRR2654012.1	SRX1337008		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP064832	PRJNA298835	2	298835	SRS1114765	simple	9606	Homo sapiens	GSM1908554							no					GEO	SRA304889		public	EB8A907BD9B5EAB0C4099EE7F0681EA5	22F20AC02E7EC9E8AEDB609DB1F04713	4166671	GSK343_2 (MCF7)	Fels Institute for Cancer Research and Molecular Biology, Temple University	9606	SRS1114765	GSM1908554	MCF7	positive	female	MCF7 breast cancer cell line	mammary gland, breast	GSK343	gsk343
