accession	uid	title	organization	taxonomy	sra	geo	chip antibody	internal id	method	replicate	source_name	treatment
SAMN07411180	7411180	RNAseq_NCI-H2171_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4146	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380907	GSM2716772	Not applicable	J4146	RNA-seq	rep1	NCI-H2171 cells	DMSO
SAMN07411181	7411181	RNAseq_NCI-H2171_NA_BI00894999_100nM_4h_NA_NA_NA_rep2_J4155	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380909	GSM2716771	Not applicable	J4155	RNA-seq	rep2	NCI-H2171 cells	BI00894999, 100nM, 4h
SAMN07411182	7411182	RNAseq_OCI-AML3_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4239	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380911	GSM2716775	Not applicable	J4239	RNA-seq	rep2	OCI-AML3 cells	BI00894999, 35nM, 4h
SAMN07411183	7411183	RNAseq_OCI-AML3_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4235	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380910	GSM2716774	Not applicable	J4235	RNA-seq	rep1	OCI-AML3 cells	BI00894999, 35nM, 4h
SAMN07411184	7411184	RNAseq_OCI-AML3_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4234	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380912	GSM2716776	Not applicable	J4234	RNA-seq	rep1	OCI-AML3 cells	DMSO
SAMN07411186	7411186	RNAseq_HL-60_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4255	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380877	GSM2716741	Not applicable	J4255	RNA-seq	rep2	HL-60 cells	BI00894999, 35nM, 4h
SAMN07411187	7411187	RNAseq_HL-60_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4251	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380876	GSM2716740	Not applicable	J4251	RNA-seq	rep1	HL-60 cells	BI00894999, 35nM, 4h
SAMN07411190	7411190	RNAseq_OCI-AML3_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4238	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380914	GSM2716777	Not applicable	J4238	RNA-seq	rep2	OCI-AML3 cells	DMSO
SAMN07411191	7411191	RNAseq_NCI-H2171_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4154	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380908	GSM2716773	Not applicable	J4154	RNA-seq	rep2	NCI-H2171 cells	DMSO
SAMN07411194	7411194	RNAseq_MV-4-11-B_NA_BI00894999_1nM_4h_NA_NA_NA_rep2_J3916	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380892	GSM2716757	Not applicable	J3916	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 1nM, 4h
SAMN07411195	7411195	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4203	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380899	GSM2716763	Not applicable	J4203	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 4h
SAMN07411196	7411196	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J3917	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380898	GSM2716762	Not applicable	J3917	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 4h
SAMN07411197	7411197	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4195	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380897	GSM2716761	Not applicable	J4195	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 4h
SAMN07411198	7411198	RNAseq_NCI-H2171_NA_BI00894999_100nM_4h_NA_NA_NA_rep1_J4147	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380906	GSM2716770	Not applicable	J4147	RNA-seq	rep1	NCI-H2171 cells	BI00894999, 100nM, 4h
SAMN07411199	7411199	RNAseq_MV-4-11-B_NA_EX00101218_5uM_4h_NA_NA_NA_rep2_J4204	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380905	GSM2716769	Not applicable	J4204	RNA-seq	rep2	MV-4-11-B cells	EX00101218, 5uM, 4h
SAMN07411200	7411200	RNAseq_MV-4-11-B_NA_BI00894999_100nM_4h_NA_NA_NA_rep2_J3918	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380888	GSM2716755	Not applicable	J3918	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 100nM, 4h
SAMN07411201	7411201	RNAseq_MV-4-11-B_NA_BI00894999_1000nM_4h_NA_NA_NA_rep1_J3914	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380889	GSM2716752	Not applicable	J3914	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 1000nM, 4h
SAMN07411202	7411202	RNAseq_MV-4-11-B_NA_BI00894999_1000nM_4h_NA_NA_NA_rep2_J3919	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380887	GSM2716753	Not applicable	J3919	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 1000nM, 4h
SAMN07411203	7411203	RNAseq_MOLM-13_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4245	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380886	GSM2716751	Not applicable	J4245	RNA-seq	rep2	MOLM-13 cells	DMSO
SAMN07411204	7411204	RNAseq_MOLM-13_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4249	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380885	GSM2716750	Not applicable	J4249	RNA-seq	rep1	MOLM-13 cells	DMSO
SAMN07411205	7411205	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_EX00101218_5uM_4h_rep1_J4197	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380893	GSM2716758	Not applicable	J4197	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 4h and EX00101218, 5uM, 4h
SAMN07411207	7411207	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J3912	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380895	GSM2716760	Not applicable	J3912	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 4h
SAMN07411208	7411208	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_EX00101218_5uM_4h_rep2_J4205	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380896	GSM2716759	Not applicable	J4205	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 4h and EX00101218, 5uM, 4h
