BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	chip antibody	internal id	method	replicate	source_name	treatment	group
SAMN07411202	SRR5863504	2018-03-03T12:41:06Z	2017-07-24T17:07:54Z	20665972	2066597200	20665972	100	950		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863504/SRR5863504.1	SRX3032042		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380887	simple	9606	Homo sapiens	GSM2716753							no					GEO	SRA590769		public	AF17BC6D13FB1E7D6901DF3939EA4C9A	B5B430171F503B4CBD8869B8719B2164	7411202	RNAseq_MV-4-11-B_NA_BI00894999_1000nM_4h_NA_NA_NA_rep2_J3919	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380887	GSM2716753	Not applicable	J3919	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 1000nM, 4h	MV_4_11_B.BI00894999.1000nM
SAMN07411146	SRR5863505	2018-03-03T12:41:06Z	2017-07-24T17:16:51Z	23047585	2304758500	23047585	100	1052		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863505/SRR5863505.1	SRX3032043		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380890	simple	9606	Homo sapiens	GSM2716754							no					GEO	SRA590769		public	2A0C6BC71B66BA779F77C6AB99962139	D40BD0380CB70511E4BF5A3AFF2333C7	7411146	RNAseq_MV-4-11-B_NA_BI00894999_100nM_4h_NA_NA_NA_rep1_J3913	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380890	GSM2716754	Not applicable	J3913	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 100nM, 4h	MV_4_11_B.BI00894999.100nM
SAMN07411200	SRR5863506	2018-03-03T12:41:06Z	2017-07-24T17:07:54Z	22742508	2274250800	22742508	100	1044		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863506/SRR5863506.1	SRX3032044		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380888	simple	9606	Homo sapiens	GSM2716755							no					GEO	SRA590769		public	22E2488FDD683F491AF69BBB39A1D00A	A81DB56ECF008B2F5957B26C05E78BB5	7411200	RNAseq_MV-4-11-B_NA_BI00894999_100nM_4h_NA_NA_NA_rep2_J3918	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380888	GSM2716755	Not applicable	J3918	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 100nM, 4h	MV_4_11_B.BI00894999.100nM
SAMN07411145	SRR5863507	2018-03-03T12:41:06Z	2017-07-24T17:10:51Z	23788026	2378802600	23788026	100	1095		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863507/SRR5863507.1	SRX3032045		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380891	simple	9606	Homo sapiens	GSM2716756							no					GEO	SRA590769		public	17BA7C11F9E5C4C0536675D50F9C1819	2A07F145CDACA9498C6D061DCDB89C4C	7411145	RNAseq_MV-4-11-B_NA_BI00894999_1nM_4h_NA_NA_NA_rep1_J3911	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380891	GSM2716756	Not applicable	J3911	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 1nM, 4h	MV_4_11_B.BI00894999.1nM
SAMN07411194	SRR5863508	2018-03-03T12:41:06Z	2017-07-24T17:07:45Z	20730805	2073080500	20730805	100	947		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863508/SRR5863508.1	SRX3032046		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380892	simple	9606	Homo sapiens	GSM2716757							no					GEO	SRA590769		public	19FAF15796C91EA2E8175E61616A2CF1	FEB3163341E39F458BC8062EEAC02CD5	7411194	RNAseq_MV-4-11-B_NA_BI00894999_1nM_4h_NA_NA_NA_rep2_J3916	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380892	GSM2716757	Not applicable	J3916	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 1nM, 4h	MV_4_11_B.BI00894999.1nM
SAMN07411205	SRR5863509	2018-03-03T12:41:06Z	2017-07-24T17:07:02Z	16391811	1639181100	16391811	100	693		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863509/SRR5863509.1	SRX3032047		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380893	simple	9606	Homo sapiens	GSM2716758							no					GEO	SRA590769		public	F7DEF8CB240C5D753E7CCFBD92776476	B567225383D742631A636E72330C81C7	7411205	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_EX00101218_5uM_4h_rep1_J4197	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380893	GSM2716758	Not applicable	J4197	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 4h and EX00101218, 5uM, 4h	MV_4_11_B.BI00894999_EX00101218.35nM_5uM
SAMN07411208	SRR5863510	2018-03-03T12:41:06Z	2017-07-24T17:07:42Z	16380778	1638077800	16380778	100	723		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863510/SRR5863510.1	SRX3032048		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380896	simple	9606	Homo sapiens	GSM2716759							no					GEO	SRA590769		public	A3A5B8F7BB233675A56D4B3A9DC994E9	57190FD5D82AB2FA95985899E68C9E80	7411208	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_EX00101218_5uM_4h_rep2_J4205	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380896	GSM2716759	Not applicable	J4205	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 4h and EX00101218, 5uM, 4h	MV_4_11_B.BI00894999_EX00101218.35nM_5uM
SAMN07411207	SRR5863511	2018-03-03T12:41:06Z	2017-07-24T17:09:14Z	22153396	2215339600	22153396	100	1032		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863511/SRR5863511.1	SRX3032050		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380895	simple	9606	Homo sapiens	GSM2716760							no					GEO	SRA590769		public	ED820BF34AEBF90AB53E61C0790EB567	FA7A322F19BBF38782334770DED84911	7411207	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J3912	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380895	GSM2716760	Not applicable	J3912	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 4h	MV_4_11_B.BI00894999.35nM
SAMN07411197	SRR5863512	2018-03-03T12:41:06Z	2017-07-24T17:11:38Z	19252489	1925248900	19252489	100	817		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863512/SRR5863512.1	SRX3032051		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380897	simple	9606	Homo sapiens	GSM2716761							no					GEO	SRA590769		public	712E3CE663FFF28CD306A430A6938854	4135FF22036C9B2BB49E99F364EE66C3	7411197	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4195	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380897	GSM2716761	Not applicable	J4195	RNA-seq	rep1	MV-4-11-B cells	BI00894999, 35nM, 4h	MV_4_11_B.BI00894999.35nM
SAMN07411196	SRR5863513	2018-03-03T12:41:06Z	2017-07-24T17:13:17Z	26669619	2666961900	26669619	100	1224		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863513/SRR5863513.1	SRX3032052		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380898	simple	9606	Homo sapiens	GSM2716762							no					GEO	SRA590769		public	814FEFD92750613D1223F0D8E75757E2	FE562DDC2EA73CD39318CFCE6044EAEC	7411196	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J3917	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380898	GSM2716762	Not applicable	J3917	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 4h	MV_4_11_B.BI00894999.35nM
SAMN07411195	SRR5863514	2018-03-03T12:41:06Z	2017-07-24T17:09:42Z	17250155	1725015500	17250155	100	760		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863514/SRR5863514.1	SRX3032053		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380899	simple	9606	Homo sapiens	GSM2716763							no					GEO	SRA590769		public	C23109A86989E095CA67B023D63CB695	F11D8CF154FB737ED5E734908E5AF4BE	7411195	RNAseq_MV-4-11-B_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4203	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380899	GSM2716763	Not applicable	J4203	RNA-seq	rep2	MV-4-11-B cells	BI00894999, 35nM, 4h	MV_4_11_B.BI00894999.35nM
SAMN07411177	SRR5863515	2018-03-03T12:41:06Z	2017-07-24T17:17:01Z	26003663	2600366300	26003663	100	1197		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863515/SRR5863515.1	SRX3032054		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380900	simple	9606	Homo sapiens	GSM2716764							no					GEO	SRA590769		public	CFD937C01B5F0FC393EEA635ABF291BC	14BCE7C7617753B9F7F9D0853B365D1F	7411177	RNAseq_MV-4-11-B_NA_DMSO_NA_NA_NA_NA_NA_rep1_J3910	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380900	GSM2716764	Not applicable	J3910	RNA-seq	rep1	MV-4-11-B cells	DMSO	MV_4_11_B.DMSO.NA
SAMN07411135	SRR5863516	2018-03-03T12:41:06Z	2017-07-24T17:10:54Z	13617445	1361744500	13617445	100	577		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863516/SRR5863516.1	SRX3032055		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380902	simple	9606	Homo sapiens	GSM2716765							no					GEO	SRA590769		public	9CDB6E5EB9FF13A29CAA9221BD25C6D5	BC10FAA0FB9B917971C830A31B38EC77	7411135	RNAseq_MV-4-11-B_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4194	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380902	GSM2716765	Not applicable	J4194	RNA-seq	rep1	MV-4-11-B cells	DMSO	MV_4_11_B.DMSO.NA
SAMN07411134	SRR5863517	2018-03-03T12:41:06Z	2017-07-24T17:10:06Z	25409458	2540945800	25409458	100	1179		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863517/SRR5863517.1	SRX3032056		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380901	simple	9606	Homo sapiens	GSM2716766							no					GEO	SRA590769		public	6D3DB9712354BB67ED4FAB089395473B	C821092B5F0E8C01524A02D137829DBD	7411134	RNAseq_MV-4-11-B_NA_DMSO_NA_NA_NA_NA_NA_rep2_J3915	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380901	GSM2716766	Not applicable	J3915	RNA-seq	rep2	MV-4-11-B cells	DMSO	MV_4_11_B.DMSO.NA
SAMN07411179	SRR5863518	2018-03-03T12:41:06Z	2017-07-24T17:12:41Z	18205040	1820504000	18205040	100	804		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863518/SRR5863518.1	SRX3032057		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380903	simple	9606	Homo sapiens	GSM2716767							no					GEO	SRA590769		public	C3C6F66933838C5A3C910C550FF61852	125E09F28060E6C5D353F3429E238A48	7411179	RNAseq_MV-4-11-B_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4202	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380903	GSM2716767	Not applicable	J4202	RNA-seq	rep2	MV-4-11-B cells	DMSO	MV_4_11_B.DMSO.NA
